obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
459.083,,140,,,,,,,,,,,,,L3475,
468.427,,40,,,,,,,,,,,,,L3475,
478.187,,170w,,,,,,,,,,,,,L3475,
481.643,,35,,,,,,,,,,,,,L3475,
483.746,,40,,,,,,,,,,,,,L3475,
489.460,,40w,,,,,,,,,,,,,L3475,
491.236,,27,,,,,,,,,,,,,L3475,
493.550,493.5504+,710,,,19710.388,39966.09,4f14.6s.6p,3P*,2,4f14.6s.6d,3D,3,,,L3475,
496.690,,140,,,,,,,,,,,,,L3475,
506.780,,30,,,,,,,,,,,,,L3475,
506.914,,70,,,,,,,,,,,,,L3475,
507.434,,220,,,,,,,,,,,,,L3475,
507.674,,50,,,,,,,,,,,,,L3475,
519.608,,60,,,,,,,,,,,,,L3475,
521.160,,85,,,,,,,,,,,,,L3475,
524.411,,100,,,,,,,,,,,,,L3475,
527.704,,150w,,,,,,,,,,,,,L3475,
535.129,,30w,,,,,,,,,,,,,L3475,
536.366,,30,,,,,,,,,,,,,L3475,
548.192,,60,,,,,,,,,,,,,L3475,
550.549,,40,,,,,,,,,,,,,L3475,
552.454,,17,,,,,,,,,,,,,L3475,
553.905,,85w,,,,,,,,,,,,,L3475,
555.647,555.6481+,2400,1.15e+06,,0.000,17992.007,4f14.6s2,1S,0,4f14.6s.6p,3P*,1,,T7227,L3475,
556.209,,35,,,,,,,,,,,,,L3475,
556.811,,20,,,,,,,,,,,,,L3475,
558.636,,20,,,,,,,,,,,,,L3475,
571.999,,220,,,,,,,,,,,,,L3475,
575.589,,10w,,,,,,,,,,,,,L3475,
580.344,,10,,,,,,,,,,,,,L3475,
585.451,,27,,,,,,,,,,,,,L3475,
598.933,,17,,,,,,,,,,,,,L3475,
605.457,,10,,,,,,,,,,,,,L3475,
640.035,,35w,,,,,,,,,,,,,L3475,
641.791,,35w,,,,,,,,,,,,,L3475,
648.906,,340,,,,,,,,,,,,,L3475,
664.355,,20,,,,,,,,,,,,,L3475,
666.782,,180,,,,,,,,,,,,,L3475,
667.817,,15,,,,,,,,,,,,,L3475,
676.870,,25,,,,,,,,,,,,,L3475,
679.960,679.9602+,690,,,17992.007,32694.692,4f14.6s.6p,3P*,1,4f14.6s.7s,3S,1,,,L3475,
724.441,,9w,,,,,,,,,,,,,L3475,
730.522,,8w,,,,,,,,,,,,,L3475,
731.305,,10w,,,,,,,,,,,,,L3475,
735.004,,16w,,,,,,,,,,,,,L3475,
744.828,,25,,,,,,,,,,,,,L3475,
752.746,,30w,,,,,,,,,,,,,L3475,
769.948,769.9487+,750,,,19710.388,32694.692,4f14.6s.6p,3P*,2,4f14.6s.7s,3S,1,,,L3475,
789.508,,7,,,,,,,,,,,,,L3475,
