Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
3s2.3p2,3P,0,1,,0.000,,,                                           ,L5815
3s2.3p2,3P,1,3,,77.115,,,                                           ,L5815
3s2.3p2,3P,2,5,,223.157,,,                                           ,L5815
3s2.3p2,1D,2,5,,6298.850,,,                                           ,L5815
3s2.3p2,1S,0,1,,15394.370,,,                                           ,L5815
3s.3p3,5S*,2,5,,33326.053,,, 100                                       ,L5815
3s2.3p.4s,3P*,0,1,,39683.163,,,  99                                       ,L5815
3s2.3p.4s,3P*,1,3,,39760.285,,,  98                  :     1  3p.4s  1P*  ,L5815
3s2.3p.4s,3P*,2,5,,39955.053,,,  99                                       ,L5815
3s2.3p.4s,1P*,1,3,,40991.884,,,  97                  :     1  3p.3d  1P*  ,L5815
3s.3p3,3D*,1,3,,45276.188,,,  56                  :    39  3p.nd  3D*  ,L5815
3s.3p3,3D*,2,5,,45293.629,,,  56                  :    39  3p.nd  3D*  ,L5815
3s.3p3,3D*,3,7,,45321.848,,,  56                  :    39  3p.nd  3D*  ,L5815
3s2.3p.4p,1P,1,3,,47284.061,,,                                           ,L5815
3s2.3p.3d,1D*,2,5,,47351.554,,,  92                  :     4  3s.3p3 1D*  ,L5815
3s2.3p.4p,3D,1,3,,48020.074,,,                                           ,L5815
3s2.3p.4p,3D,2,5,,48102.323,,,                                           ,L5815
3s2.3p.4p,3D,3,7,,48264.292,,,                                           ,L5815
3s2.3p.4p,3P,0,1,,49028.294,,,                                           ,L5815
3s2.3p.4p,3P,1,3,,49060.601,,,                                           ,L5815
3s2.3p.4p,3P,2,5,,49188.617,,,                                           ,L5815
3s2.3p.4p,3S,1,3,,49399.670,,,                                           ,L5815
3s2.3p.3d,3F*,2,5,,49850.830,,,  98                  :     1  3p.3d  3P*  ,L5815
3s2.3p.3d,3F*,3,7,,49933.775,,,  99                  :     1  3p.4d  3F*  ,L5815
3s2.3p.3d,3F*,4,9,,50054.80,,,  99                  :     1  3p.4d  3F*  ,L5815
3s2.3p.4p,1D,2,5,,50189.389,,,                                           ,L5815
3s2.3p.3d,3P*,2,5,,50499.838,,,  81                  :    16  3s.3p3 3P*  ,L5815
3s2.3p.3d,3P*,1,3,,50566.397,,,  81                  :    16  3s.3p3 3P*  ,L5815
3s2.3p.3d,3P*,0,1,,50602.44,,,  81                  :    16  3s.3p3 3P*  ,L5815
3s2.3p.4p,1S,0,1,,51612.012,,,                                           ,L5815
3s2.3p.3d,1F*,3,7,,53362.24,,,  96                  :     3  3p.4d  1F*  ,L5815
3s2.3p.3d,1P*,1,3,,53387.334,,,  92                  :     3  3p.5s  1P*  ,L5815
3s2.3p.3d,3D*,1,3,,54185.264,,,  80  3p.nd           :    14  3s.3p3 3D*  ,L5815
3s2.3p.3d,3D*,2,5,,54205.090,,,  80  3p.nd           :    14  3s.3p3 3D*  ,L5815
3s2.3p.3d,3D*,3,7,,54257.582,,,  80  3p.nd           :    14  3s.3p3 3D*  ,L5815
3s2.3p.5s,3P*,0,1,,54245.020,,,  99                  :     1  3p.3d  3P*  ,L5815
3s2.3p.5s,3P*,1,3,,54313.818,,,  92                  :     6  3p.5s  1P*  ,L5815
3s2.3p.5s,3P*,2,5,,54528.220,,,  98                  :     1  3p.4d  3P*  ,L5815
3s2.3p.5s,1P*,1,3,,54871.031,,,  89                  :     6  3p.5s  3P*  ,L5815
3s2.3p.4d,1D*,2,5,,56503.346,,,  86                  :     4  3p.3d  1D*  ,L5815
3s2.3p.4d,3P*,2,5,,56690.903,,,  50                  :    26  3s.3p3 3P*  ,L5815
3s2.3p.4d,3P*,1,3,,56700.25,,,  51                  :    27  3s.3p3 3P*  ,L5815
3s2.3p.4d,3P*,0,1,,56733.38,,,  50                  :    27  3s.3p3 3P*  ,L5815
3s2.3p.5p,1P,1,3,,56780.427,,,                                           ,L5815
3s2.3p.5p,3D,1,3,,56978.256,,,                                           ,L5815
3s2.3p.5p,3D,2,5,,57017.496,,,                                           ,L5815
3s2.3p.5p,3D,3,7,,57198.027,,,                                           ,L5815
3s2.3p.5p,3P,0,1,,57295.881,,,                                           ,L5815
3s2.3p.5p,3P,1,3,,57328.789,,,                                           ,L5815
3s2.3p.5p,3P,2,5,,57468.239,,,                                           ,L5815
3s2.3p.4d,3F*,2,5,,57372.297,,,  96                  :     2  3p.4d  1D*  ,L5815
3s2.3p.4d,3F*,3,7,,57450.580,,,  98                  :     1  3p.3d  3F*  ,L5815
3s2.3p.4d,3F*,4,9,,57583.657,,,  98                  :     1  3p.3d  3F*  ,L5815
3s2.3p.5p,3S,1,3,,57541.918,,,                                           ,L5815
3s2.3p.5p,1D,2,5,,57798.072,,,                                           ,L5815
3s2.3p.5p,1S,0,1,,58311.659,,,                                           ,L5815
3s2.3p.(2P*<1/2>).4f,2[5/2],3,7,,58774.368,,,                                           ,L5815
3s2.3p.(2P*<1/2>).4f,2[5/2],2,5,,58775.451,,,                                           ,L5815
3s2.3p.(2P*<1/2>).4f,2[7/2],3,7,,58786.860,,,                                           ,L5815
3s2.3p.(2P*<1/2>).4f,2[7/2],4,9,,58788.880,,,                                           ,L5815
3s2.3p.4d,1P*,1,3,,58801.529,,,  86                  :     6  3p.6s  1P*  ,L5815
3s2.3p.4d,1F*,3,7,,58893.40,,,  89                  :     5  3p.5d  1F*  ,L5815
3s2.3p.4d,3D*,2,5,,59032.19,,,  89  3p.nd           :     5  3s.3p3 3D*  ,L5815
3s2.3p.4d,3D*,1,3,,59056.508,,,  89  3p.nd           :     5  3s.3p3 3D*  ,L5815
3s2.3p.4d,3D*,3,7,,59118.03,,,  89  3p.nd           :     5  3s.3p3 3D*  ,L5815
3s2.3p.(2P*<3/2>).4f,2[7/2],3,7,,59034.988,,,                                           ,L5815
3s2.3p.(2P*<3/2>).4f,2[7/2],4,9,,59037.043,,,                                           ,L5815
3s2.3p.(2P*<3/2>).4f,2[5/2],3,7,,59109.959,,,                                           ,L5815
3s2.3p.(2P*<3/2>).4f,2[5/2],2,5,,59110.892,,,                                           ,L5815
3s2.3p.(2P*<3/2>).4f,2[9/2],5,11,,59128.40,,,                                           ,L5815
3s2.3p.(2P*<3/2>).4f,2[9/2],4,9,,59131.912,,,                                           ,L5815
3s2.3p.(2P*<3/2>).4f,2[3/2],1,3,,59190.46,,,                                           ,L5815
3s2.3p.(2P*<3/2>).4f,2[3/2],2,5,,59191.072,,,                                           ,L5815
3s2.3p.(2P*<1/2>).6s<1/2>,"(1/2,1/2)*",0,1,,59221.11,,,  99  3P*             :     1  3p.4d  3P*  ,L5815
3s2.3p.(2P*<1/2>).6s<1/2>,"(1/2,1/2)*",1,3,,59273.575,,,  86  3P*             :    11  3p.6s  1P*  ,L5815
3s2.3p.(2P*<3/2>).6s<1/2>,"(3/2,1/2)*",2,5,,59506.359,,,  95  3P*             :     2  3p.4d  3P*  ,L5815
3s2.3p.(2P*<3/2>).6s<1/2>,"(3/2,1/2)*",1,3,,59636.667,,,  79  1P*             :    12  3p.6s  3P*  ,L5815
3s2.3p.nd,a 3P*,2,5,,59917.336,,,  77                  :    16  3s.3p3 3P*  ,L5815
3s2.3p.nd,a 3P*,1,3,,60010.458,,,  80                  :    17  3s.3p3 3P*  ,L5815
3s2.3p.nd,a 3P*,0,1,,60042.50,,,  82                  :    17  3s.3p3 3P*  ,L5815
3s2.3p.5d,1D*,2,5,,60300.860,,,  76                  :    14  3p.5d  3F*  ,L5815
3s2.3p.(2P*<1/2>).6p<1/2>,"(1/2,1/2)",1,3,,60381.278,,,                                           ,L5815
3s2.3p.(2P*<1/2>).6p<1/2>,"(1/2,1/2)",0,1,,60621.64,,,                                           ,L5815
3s2.3p.(2P*<1/2>).6p<3/2>,"(1/2,3/2)",1,3,,60487.103,,,                                           ,L5815
3s2.3p.(2P*<1/2>).6p<3/2>,"(1/2,3/2)",2,5,,60496.358,,,                                           ,L5815
3s2.3p.5d,3F*,2,5,,60645.441,,,  84                  :    12  3p.5d  1D*  ,L5815
3s2.3p.5d,3F*,3,7,,60705.464,,,  96                  :     1  3p.5d  1F*  ,L5815
3s2.3p.5d,3F*,4,9,,60848.946,,,  98                  :     1  3p.4d  3F*  ,L5815
3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",3,7,,60704.53,,,                                           ,L5815
3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",1,3,,60706.558,,,                                           ,L5815
3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",2,5,,60962.105,,,                                           ,L5815
3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",0,1,,61198.036,,,                                           ,L5815
3s2.3p.(2P*<3/2>).6p<1/2>,"(3/2,1/2)",2,5,,60815.925,,,                                           ,L5815
3s2.3p.(2P*<3/2>).6p<1/2>,"(3/2,1/2)",1,3,,60856.630,,,                                           ,L5815
3s2.3p.(2P*<1/2>).5f,2[5/2],3,7,,61303.381,,,                                           ,L5815
3s2.3p.(2P*<1/2>).5f,2[5/2],2,5,,61304.283,,,                                           ,L5815
3s2.3p.(2P*<1/2>).5f,2[7/2],3,7,,61305.050,,,                                           ,L5815
3s2.3p.(2P*<1/2>).5f,2[7/2],4,9,,61306.713,,,                                           ,L5815
3s2.3p.5d,1P*,1,3,,61305.67,,,  73                  :     9  3p.7s  1P*  ,L5815
3s2.3p.5d,1F*,3,7,,61423.23,,,  76                  :     8  3p.6d  1F*  ,L5815
3s2.3p.5d,3D*,2,5,,61447.86,,,  82  3p.nd           :    13  3p.nd  3P*  ,L5815
3s2.3p.5d,3D*,1,3,,61511.77,,,  57  3p.nd           :    25  3p.7s  3P*  ,L5815
3s2.3p.5d,3D*,3,7,,61574.814,,,  87  3p.nd           :     8  3p.5d  1F*  ,L5815
3s2.3p.(2P*<1/2>).7s<1/2>,"(1/2,1/2)*",0,1,,61538.05,,, 100  3P*                                  ,L5815
3s2.3p.(2P*<1/2>).7s<1/2>,"(1/2,1/2)*",1,3,,61595.43,,,  56  3P*             :    24  3p.nd  3D*  ,L5815
3s2.3p.(2P*<3/2>).5f,2[7/2],3,7,,61562.477,,,                                           ,L5815
3s2.3p.(2P*<3/2>).5f,2[7/2],4,9,,61563.952,,,                                           ,L5815
3s2.3p.(2P*<3/2>).5f,2[5/2],3,7,,61597.404,,,                                           ,L5815
3s2.3p.(2P*<3/2>).5f,2[5/2],2,5,,61598.145,,,                                           ,L5815
3s2.3p.(2P*<3/2>).5f,2[9/2],5,11,,61614.37,,,                                           ,L5815
3s2.3p.(2P*<3/2>).5f,2[9/2],4,9,,61617.17,,,                                           ,L5815
3s2.3p.(2P*<3/2>).5f,2[3/2],1,3,,61647.36,,,                                           ,L5815
3s2.3p.(2P*<3/2>).5f,2[3/2],2,5,,61647.875,,,                                           ,L5815
3s2.3p.(2P*<3/2>).7s<1/2>,"(3/2,1/2)*",2,5,,61823.550,,,  92  3P*             :     3  3p.5d  3P*  ,L5815
3s2.3p.(2P*<3/2>).7s<1/2>,"(3/2,1/2)*",1,3,,61881.60,,,  65  1P*             :    15  3p.7s  3P*  ,L5815
3s2.3p.5d,3P*,2,5,,61841.94,,,  72  3p.nd           :    12  3p.nd  3D*  ,L5815
3s2.3p.5d,3P*,1,3,,61936.13,,,  80  3p.nd           :     7  3s.3p3 3P*  ,L5815
3s2.3p.5d,3P*,0,1,,61960.26,,,  92  3p.nd           :     8  3s.3p3 3P*  ,L5815
3s2.3p.(2P*<1/2>).7p<1/2>,"(1/2,1/2)",1,3,,62141.8,,,                                           ,L5815
3s2.3p.(2P*<1/2>).7p<1/2>,"(1/2,1/2)",0,1,,62318.7,,,                                           ,L5815
3s2.3p.6d,1D*,2,5,,62156.816,,,  49                  :    42  3p.6d  3F*  ,L5815
3s2.3p.(2P*<1/2>).7p<3/2>,"(1/2,3/2)",1,3,,62226.39,,,                                           ,L5815
3s2.3p.(2P*<1/2>).7p<3/2>,"(1/2,3/2)",2,5,,62231.99,,,                                           ,L5815
3s2.3p.6d,3F*,2,5,,62349.93,,,  54                  :    38  3p.6d  1D*  ,L5815
3s2.3p.6d,3F*,3,7,,62376.820,,,  92                  :     3  3p.6d  1F*  ,L5815
3s2.3p.6d,3F*,4,9,,62534.08,,,  98                  :     1  3p.5d  3F*  ,L5815
3s2.3p.(2P*<3/2>).7p<3/2>,"(3/2,3/2)",3,7,,62421.03,,,                                           ,L5815
3s2.3p.(2P*<3/2>).7p<3/2>,"(3/2,3/2)",1,3,,62450.4,,,                                           ,L5815
3s2.3p.(2P*<3/2>).7p<3/2>,"(3/2,3/2)",2,5,,62596.32,,,                                           ,L5815
3s2.3p.(2P*<3/2>).7p<3/2>,"(3/2,3/2)",0,1,,62718.99,,,                                           ,L5815
3s2.3p.(2P*<3/2>).7p<1/2>,"(3/2,1/2)",2,5,,62519.66,,,                                           ,L5815
3s2.3p.(2P*<3/2>).7p<1/2>,"(3/2,1/2)",1,3,,62545.10,,,                                           ,L5815
3s2.3p.6d,1P*,1,3,,62666.25,,,  58                  :    27  3p.nd  3D*  ,L5815
3s2.3p.(2P*<1/2>).6f,2[7/2],3,7,,62667.823,,,                                           ,L5815
3s2.3p.(2P*<1/2>).6f,2[7/2],4,9,,62669.179,,,                                           ,L5815
3s2.3p.(2P*<1/2>).6f,2[5/2],3,7,,62669.164,,,                                           ,L5815
3s2.3p.(2P*<1/2>).6f,2[5/2],2,5,,62669.727,,,                                           ,L5815
3s2.3p.6d,3D*,2,5,,62774.99,,,  65  3p.nd           :    29  3p.nd  3P*  ,L5815
3s2.3p.6d,3D*,1,3,,62925.80,,,  63  3p.nd           :    28  3p.6d  1P*  ,L5815
3s2.3p.6d,3D*,3,7,,62936.14,,,  78  3p.nd           :    16  3p.6d  1F*  ,L5815
3s2.3p.6d,1F*,3,7,,62802.86,,,  61                  :    12  3p.6d  3D*  ,L5815
3s2.3p.(2P*<1/2>).8s<1/2>,"(1/2,1/2)*",0,1,,62806.65,,,                                           ,L5815
3s2.3p.(2P*<1/2>).8s<1/2>,"(1/2,1/2)*",1,3,,62813.26,,,                                           ,L5815
3s2.3p.(2P*<3/2>).6f,2[7/2],3,7,,62935.76,,,                                           ,L5815
3s2.3p.(2P*<3/2>).6f,2[7/2],4,9,,62936.81,,,                                           ,L5815
3s2.3p.(2P*<3/2>).6f,2[5/2],3,7,,62954.46,,,                                           ,L5815
3s2.3p.(2P*<3/2>).6f,2[5/2],2,5,,62955.00,,,                                           ,L5815
3s2.3p.(2P*<3/2>).6f,2[9/2],5,11,,62966.61,,,                                           ,L5815
3s2.3p.(2P*<3/2>).6f,2[9/2],4,9,,62968.49,,,                                           ,L5815
3s2.3p.(2P*<3/2>).6f,2[3/2],1,3,,62985.96,,,                                           ,L5815
3s2.3p.(2P*<3/2>).6f,2[3/2],2,5,,62986.32,,,                                           ,L5815
